Country,Tweets Count
Germany,74
Mexico,29
Netherlands,21
Italy,32
Austria,6
Nepal,11
Japan,3
India,144
France,74
The Gambia,9
Switzerland,30
Canada,226
Ukraine,10
RSA,4
United States of America,372
United Kingdom,187
Singapore,5
Venezuela,7
Peru,10
Australia,22
Ecuador,6
Chile,3
Haiti,3
Taiwan,6
Bangladesh,2
Spain,26
Ireland,5
Sweden,7
Pakistan,6
South Korea,1
B&H,2
Finland,11
Czech Republic,1
Tunisia,3
Iran,1
Kenya,8
New Zealand,2
Vietnam,1
Slovakia,1
Kosovo,1
Nigeria,23
Colombia,8
Philippines,4
Thailand,2
Turkey,3
Argentina,4
PRC,4
Malaysia,6
Brazil,10
Slovenia,1
Belgium,8
Myanmar,1
Indonesia,8
Cyprus,3
Portugal,4
Romania,1
Mauritania,1
Cameroon,4
Ghana,4
Russia,2
Ethiopia,3
Saudi Arabia,2
Senegal,2
Egypt,1
Sri Lanka,1
South Africa,1
Jamaica,1
Croatia,6
Laos,1
Paraguay,1
Saint Kitts and Nevis,1
Azerbaijan,1
Mongolia,1
Luxembourg,1
Turks and Caicos Islands,1
Uganda,1
Moldova,1
Tanzania,1
Burkina Faso,1
Guyana,3
